"ANO","NIVEL","CODMUNRES","POPRE_T","POPRC_T","POPRC_M","POPRC_F","POPRC_15","POPRC_15_49","POPRC_50","POPRC_F_15","POPRC_F_15_49","POPRC_F_50"
2015,"MUNICIPIO","2411700",4318,3905,1940,1965,1142,2033,730,577,1002,386
2015,"MUNICIPIO","2411809",3587,3401,1737,1664,739,1869,793,354,916,394
2015,"MUNICIPIO","2411908",4173,3874,1945,1929,896,2102,876,431,1035,463
2015,"MUNICIPIO","2412005",98260,87668,43179,44489,23823,50764,13081,11708,25763,7018
2015,"MUNICIPIO","2412104",6218,5922,2923,2999,1256,3129,1537,634,1557,808
2015,"MUNICIPIO","2412203",43191,39776,19844,19932,11383,21422,6971,5506,10713,3713
2015,"MUNICIPIO","2412302",12933,12356,6150,6206,3328,6488,2540,1665,3147,1394
2015,"MUNICIPIO","2412401",4567,4231,2122,2109,909,2426,896,449,1215,445
2015,"MUNICIPIO","2412500",23274,22157,10572,11585,6112,11270,4775,2993,5937,2655
2015,"MUNICIPIO","2412559",9427,8670,4474,4196,2599,4668,1403,1271,2237,688
2015,"MUNICIPIO","2412609",17239,15843,7824,8019,4067,8459,3317,2008,4227,1784
2015,"MUNICIPIO","2412708",6216,6235,3172,3063,1691,3174,1370,808,1522,733
2015,"MUNICIPIO","2412807",8347,8111,4130,3981,1788,4338,1985,839,2097,1045
2015,"MUNICIPIO","2412906",11205,10827,5436,5391,2749,5396,2682,1289,2680,1422
2015,"MUNICIPIO","2413003",6400,6028,2944,3084,1368,3256,1404,687,1665,732
2015,"MUNICIPIO","2413102",6087,5637,2860,2777,1611,2891,1135,794,1391,592
2015,"MUNICIPIO","2413201",4322,3924,1944,1980,1235,2038,651,622,1015,343
2015,"MUNICIPIO","2413300",5883,5743,2865,2878,1549,2974,1220,781,1448,649
2015,"MUNICIPIO","2413359",11507,10287,5392,4895,2962,5668,1657,1436,2667,792
2015,"MUNICIPIO","2413409",8130,7770,3901,3869,1822,4259,1689,870,2087,912
2015,"MUNICIPIO","2413508",6518,6581,3452,3129,1901,3400,1280,898,1593,638
2015,"MUNICIPIO","2413557",4797,4540,2293,2247,1011,2414,1115,493,1191,563
2015,"MUNICIPIO","2413607",3893,5752,2865,2887,1272,3191,1289,629,1584,674
2015,"MUNICIPIO","2413706",5433,5020,2542,2478,1327,2634,1059,673,1260,545
2015,"MUNICIPIO","2413805",2518,2317,1178,1139,608,1242,467,270,634,235
2015,"MUNICIPIO","2413904",12366,11836,6112,5724,3528,6182,2126,1677,2957,1090
2015,"MUNICIPIO","2414001",15529,14175,7159,7016,4023,7513,2639,1960,3659,1397
2015,"MUNICIPIO","2414100",10646,9883,4979,4904,2349,5416,2118,1171,2649,1084
2015,"MUNICIPIO","2414159",5757,5406,2746,2660,1636,2863,907,753,1439,468
2015,"MUNICIPIO","2414209",13316,11385,5758,5627,3207,6407,1771,1549,3160,918
2015,"MUNICIPIO","2414308",2418,2295,1145,1150,461,1279,555,221,627,302
2015,"MUNICIPIO","2414407",33506,31089,16068,15021,9478,16568,5043,4529,7902,2590
2015,"MUNICIPIO","2414456",3366,3368,1770,1598,961,1785,622,453,833,312
2015,"MUNICIPIO","2414506",10835,10659,5228,5431,2554,5688,2417,1227,2873,1331
2015,"MUNICIPIO","2414605",14282,12992,6719,6273,3394,7207,2391,1669,3391,1213
2015,"MUNICIPIO","2414704",5512,5236,2622,2614,1321,2669,1246,656,1299,659
2015,"MUNICIPIO","2414753",4121,3821,1952,1869,1122,2057,642,546,992,331
2015,"MUNICIPIO","2414803",12016,10719,5355,5364,2975,5827,1917,1464,2902,998
2015,"MUNICIPIO","2414902",1714,1618,806,812,396,900,322,177,463,172
2015,"MUNICIPIO","2415008",3116,2872,1460,1412,867,1573,432,407,786,219
