"ANO","NIVEL","CODMUNRES","TN","TNRC","TNRCR","TGI_15","TGI_15_19","TGI_20_24","TGI_25_29","TGI_30_34","TGI_35_39","TGI_40_44","TGI_45_49","TGI_50","TGIF","IM_P25","IM_P50","IM_P75","IM_MD","IM_DP","EM_S","EM_FI","EM_FII","EM_M","EM_SI","EM_SC","TGRC_B","TGRC_PT","TGRC_A","TGRC_PD","TGRC_I","TGSC","TGCC","TGPRI","TGNPRI","TGU","TGG","TGD_22","TGD_22_27","TGD_28_31","TGD_32_36","TGD_37_41","TGD_42","TGD_PRT","TGD_AT","TGD_PST","DG_P25","DG_P50","DG_P75","DG_MD","DG_DP","TKC_NR","TKC_ID","TKC_IT","TKC_AD","TKC_MAD","TGPRG_S","TGPRG_N","TPV","TPC","TRAP_C","TRAP_P","TRAP_T","TGROB_1","TGROB_2","TGROB_3","TGROB_4","TGROB_5","TGROB_6","TGROB_7","TGROB_8","TGROB_9","TGROB_10","TNLOC_H","TNLOC_ES","TNLOC_D","TNLOC_O","TNLOC_AI","TRS_M","TRS_F","TRRC_B","TRRC_PT","TRRC_A","TRRC_PD","TRRC_I","TRP_BP","TRP_N","TRP_M","PESO_P25","PESO_P50","PESO_P75","PESO_MD","PESO_DP","TRPIG_P","TRPIG_A","TRPIG_G","TRAPG5_B","TRAPG5_N","APG5_MD","APG5_DP","TRAC","TRSAC"
"2015","MUNICIPIO","240370","75","56","56","1","7","18","28","9","12","0","0","0","74","22.5","26","31.5","26.92","6.1507195799639","2","0","19","40","2","10","16","0","0","46","0","14","61","37","38","74","1","0","0","1","6","64","2","7","64","2","38","38","39","38.2602739726027","2.0818487861372","1","21","3","8","37","75","0","12","63","74","0","0","24","9","9","2","20","0","0","1","0","7","75","0","0","0","0","39","36","16","0","0","46","0","7","66","2","2900","3200","3490","3125.22666666667","552.87581258737","57","6","7","1","74","9.13333333333333","0.528468806344593","0","73"
"2015","MUNICIPIO","240375","45","27","27","3","5","16","13","7","1","0","0","0","42","21","24","29","24.5111111111111","5.683397760232","0","3","18","20","0","2","1","1","0","38","0","13","32","12","33","44","0","0","1","0","5","34","1","6","34","1","38","39","40","38.1951219512195","2.95989452679586","0","4","4","4","28","45","0","18","27","37","1","0","4","2","10","3","9","0","1","0","0","6","44","0","0","1","0","22","23","1","1","0","38","0","3","34","8","3030","3320","3800","3367.91111111111","766.696746445491","28","11","1","1","43","8.97727272727273","0.549360573912192","0","41"
"2015","MUNICIPIO","240380","119","95","96","0","24","35","27","18","11","4","0","0","119","20.5","25","30","25.8487394957983","6.77437676846025","0","5","31","63","5","8","39","1","0","74","0","30","89","49","70","118","0","0","0","1","11","106","1","12","106","1","38","39","40","38.7394957983193","1.94614867337532","0","14","10","14","73","113","6","49","69","110","2","0","36","7","22","11","24","1","1","0","0","10","118","0","0","1","0","65","54","42","1","0","74","0","8","103","8","3017.5","3260","3605","3267.64705882353","538.130593252064","98","12","7","1","116","8.81196581196581","0.642350531810828","1","114"
"2015","MUNICIPIO","240390","27","21","21","0","3","7","10","6","1","0","0","0","27","23","27","30","26.2962962962963","5.35519025600983","0","3","7","13","2","2","11","1","0","12","0","4","23","11","16","25","2","1","3","0","2","21","0","6","21","0","37","38","38.5","35.7037037037037","5.63515623163952","0","2","1","5","15","27","0","8","19","26","0","1","3","5","5","3","5","0","0","2","1","3","27","0","0","0","0","15","12","11","1","0","12","0","6","21","0","2620","3165","3515","2834.07407407407","999.131427634328","21","2","1","3","24","8.33333333333333","2.81479607131261","0","27"
"2015","MUNICIPIO","240400","57","40","43","1","12","8","21","10","4","1","0","0","56","20","26","30","25.9298245614035","6.51881795026304","0","7","27","20","0","2","19","1","0","34","0","22","35","19","38","54","3","0","0","0","7","49","1","7","49","1","38","39","39","38.4561403508772","1.53611494452955","0","7","1","1","46","26","31","10","47","55","2","0","8","8","9","8","14","0","1","3","0","6","57","0","0","0","0","26","31","19","1","0","34","0","1","54","2","3005","3300","3550","3283.24561403509","415.43489608145","45","6","2","0","57","9.21052631578947","0.411306372830311","0","46"
"2015","MUNICIPIO","240410","39","15","16","1","9","12","10","4","2","1","0","0","38","19.5","23","26.5","24.025641025641","6.16222439113456","0","3","13","5","1","1","1","2","0","20","0","12","27","12","27","38","0","0","0","0","5","20","3","5","20","3","37","38","39","38.5","2.26895309518468","0","7","5","7","6","38","1","14","24","21","0","0","5","2","5","1","4","0","0","0","0","4","36","3","0","0","0","23","16","5","2","0","26","0","4","32","3","2950","3300","3617.5","3247.94871794872","516.205586784239","21","3","2","0","39","9.30769230769231","0.569110393224472","0","37"
"2015","MUNICIPIO","240420","497","368","383","13","110","121","120","85","41","7","0","0","484","20","25","30","25.169014084507","6.6883087115632","11","53","182","209","13","20","62","22","2","406","1","199","298","173","324","485","12","0","7","4","47","363","22","58","363","22","38","39","40","38.627539503386","2.65324185639928","1","122","46","47","249","462","35","328","169","471","16","1","92","39","163","39","35","5","8","11","1","42","486","9","1","1","0","253","243","62","22","2","406","1","39","420","38","2935","3264","3580","3232.1509054326","600.361859433362","339","57","28","4","488","9.35162601626016","0.744523384204469","4","477"
"2015","MUNICIPIO","240430","164","98","104","7","30","58","38","21","8","2","0","0","157","20","23","28","24.2256097560976","6.34714197748547","0","12","73","64","1","12","26","0","0","106","0","61","103","76","88","161","2","1","3","2","25","121","8","31","121","8","37","38","39","37.80625","3.28805131446285","0","31","19","15","83","164","0","45","118","157","4","0","36","21","25","10","34","1","2","2","0","28","164","0","0","0","0","81","83","26","0","0","106","0","18","141","5","2863.75","3140","3390","3100.92073170732","511.951397050338","133","11","9","1","162","9.09815950920245","0.433400620507802","2","146"
"2015","MUNICIPIO","240440","130","95","96","1","27","33","42","18","7","1","1","0","129","20","25","28","25.1","5.91784844623096","0","9","44","61","8","7","16","0","0","87","1","51","79","55","75","128","2","0","1","2","12","108","3","15","107","3","37","39","40","38.344","2.29692641757239","0","25","8","17","68","128","2","31","99","121","5","0","29","13","24","7","31","3","2","2","0","12","128","0","1","1","0","70","60","16","0","0","88","1","10","113","7","2976.25","3297.5","3535","3214.64615384615","561.566536215875","98","15","9","1","126","8.94488188976378","0.748618692163586","0","127"
"2015","MUNICIPIO","240450","298","225","234","2","65","82","85","37","17","9","1","0","296","20","24.5","29","25.0436241610738","6.68845753984503","2","29","113","106","7","17","61","13","1","182","2","139","159","101","197","296","2","1","2","3","27","230","14","33","230","14","38","39","40","38.6317689530686","2.81972891158524","0","55","25","21","167","123","175","117","181","234","37","0","48","22","69","28","36","10","26","2","0","23","295","2","1","0","0","128","170","62","13","1","199","2","26","263","9","2878.5","3172.5","3497.5","3158.10067114094","561.359601882617","227","26","15","6","291","9.15488215488216","1.10721744744674","2","292"
"2015","MUNICIPIO","240460","139","118","122","1","26","36","29","23","20","4","0","0","138","20","27","32.5","26.5179856115108","7.07757483026865","3","20","49","46","2","11","24","4","0","111","0","83","56","64","75","138","1","0","1","1","13","111","11","15","111","11","38","39","40","38.8905109489051","2.39078756442057","0","24","14","15","80","139","0","76","63","133","6","0","38","17","39","7","16","2","4","1","0","13","138","0","0","1","0","61","78","24","4","0","111","0","12","119","8","2842.5","3260","3477.5","3186.39568345324","536.863240873802","107","14","12","1","137","8.94202898550725","0.523437765206351","0","138"
"2015","MUNICIPIO","240470","238","125","134","3","50","63","62","43","14","2","0","1","234","20","25","29.75","25.1050420168067","6.45868856774382","1","19","77","108","7","9","38","5","0","168","0","101","137","101","137","231","7","0","2","1","21","196","10","24","196","10","38","39","40","38.6260869565217","2.30041146714446","1","52","11","34","123","238","0","72","166","187","4","1","47","24","40","11","40","0","4","7","1","17","238","0","0","0","0","117","121","38","5","0","169","0","14","207","17","2950","3267.5","3550","3234.91596638655","548.508819799652","175","25","17","2","236","8.98319327731092","0.44023762814793","2","202"
"2015","MUNICIPIO","240480","21","19","19","0","1","5","6","6","3","0","0","0","21","24","27","33","28.4761904761905","6.08784894374891","0","1","6","11","0","3","8","0","0","12","0","2","19","1","20","21","0","0","0","0","0","20","1","0","20","1","38","39","39","39","1.26491106406735","0","2","0","2","16","21","0","8","13","21","0","0","1","0","6","1","13","0","0","0","0","0","21","0","0","0","0","11","10","8","0","0","12","0","1","19","1","2810","3220","3550","3200.42857142857","489.144720039844","18","2","1","0","21","9.38095238095238","0.497613351528119","0","21"
"2015","MUNICIPIO","240485","114","56","59","4","34","36","23","9","7","1","0","0","110","18.25","21","26.75","23","6.25278698923475","1","6","45","46","7","4","22","2","0","73","0","46","68","54","60","109","4","0","1","2","11","85","5","14","85","5","37.75","39","40","38.2403846153846","2.64573366890005","2","20","11","17","54","114","0","31","80","85","6","0","28","6","17","6","13","2","0","4","0","10","114","0","0","0","0","65","49","22","2","0","73","0","11","95","8","3001.25","3300","3553.75","3246.23684210526","537.254694838698","75","14","9","1","113","8.94736842105263","0.476753498637369","0","101"
"2015","MUNICIPIO","240490","65","44","45","1","18","13","17","7","6","2","1","0","64","19","25","29","25.1538461538462","7.29989462516149","1","5","21","31","1","4","24","0","0","37","0","24","41","31","34","65","0","0","0","1","9","50","1","10","50","1","38","38","39","38.1147540983607","1.90699030460512","0","9","2","6","36","65","0","19","46","65","0","0","16","9","15","0","11","0","0","0","0","10","65","0","0","0","0","28","37","24","0","0","37","0","4","61","0","3000","3200","3565","3201.07692307692","521.763036124048","52","7","1","1","64","9.4","0.745821694508815","1","60"
"2015","MUNICIPIO","240500","113","58","59","0","26","26","40","10","7","4","0","0","113","20","25","28","25.0796460176991","6.40332167277315","0","4","14","41","2","3","10","0","0","56","0","29","84","50","63","113","0","0","0","1","9","97","5","10","97","5","39","40","41","39.5535714285714","1.98116939584483","0","11","3","5","45","108","5","61","52","63","4","0","19","5","19","2","11","2","2","0","0","7","112","0","0","1","0","65","48","26","0","0","85","0","8","99","6","2910","3245","3570","3232.61061946903","495.220755854475","89","10","12","0","112","9.23214285714286","0.584825266229659","2","105"
