"ANO","NIVEL","CODMUNRES","TO","TORC","TORCR","TO_NN","TO_N","TO_CB_I","TO_CB_N","TO_CB_C","TO_CB_R","TO_CB_O","TO_M","TO_F","TO_F_IF","TO_FT","TO_NT","TO_NT_P","TO_NT_T","TO_PNT","TO_MT_G","TONT_B","TONT_PT","TONT_A","TONT_PD","TONT_I","TO_MT","TO_MT_DG","TO_MT_PT","TO_MT_AB","TO_MT_42","TO_MT_43","TO_MT_P","TO_MT_P_I","TO_MT_P_ES","TO_MT_P_EFI","TO_MT_P_EFII","TO_MT_P_EM","TO_MT_P_ESI","TO_MT_P_ESC"
2015,"MU",240165,8,8,0,0,8,1,0,4,1,2,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",240170,70,70,0,14,56,1,6,25,4,20,46,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",240180,68,68,0,10,58,1,8,25,4,20,38,30,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",240185,30,30,0,5,25,0,3,13,1,8,16,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",240190,23,23,0,0,23,0,4,6,3,10,10,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",240200,429,429,0,79,350,18,69,97,43,123,232,197,19,0,3,2,1,1,1,1,0,0,2,0,2,1,0,0,1,0,2,2,0,1,0,1,0,0
2015,"MU",240210,56,56,0,3,53,2,8,24,6,13,30,26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",240220,202,202,0,21,181,6,32,66,18,59,118,84,15,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",240230,141,141,0,23,118,4,18,46,7,43,78,63,8,0,3,2,1,4,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",240240,60,60,0,7,53,4,11,16,9,13,29,31,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",240250,53,53,0,3,50,1,7,13,8,21,32,21,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",240260,468,468,0,79,389,16,62,139,37,135,273,194,22,0,9,6,3,8,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
